web-scraper-order,web-scraper-start-url,pagination,PLZ,Stadt,Stadtteil,Landkreis,Bundesland
"1632988522-16718","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-3","36341","Lauterbach/Hessen","","Vogelsbergkreis","Hessen"
"1632988457-13049","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-8","86199","Augsburg","Augsburg-Göggingen","","Bayern"
"1632988522-16301","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-3","30629","Hannover","Hannover-Miesburg-Nord","Region Hannover","Niedersachsen"
"1632988473-13964","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-7","74354","Besigheim","","Kreis Ludwigsburg","Baden-Württemberg"
"1632988457-13117","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-8","86574","Petersdorf b. Aichach","","Kreis Aichach-Friedberg","Bayern"
"1632988440-12035","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-9","95659","Arzberg/Oberfranken","","Kreis Wunsiedel i. Fichtelgebirge","Bayern"
"1632988457-12696","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-8","83278","Traunstein","","Kreis Traunstein","Bayern"
"1632988457-13411","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-8","88410","Bad Wurzach","","Kreis Ravensburg","Baden-Württemberg"
"1632988473-14347","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-7","78647","Trossingen","","Kreis Tuttlingen","Baden-Württemberg"
"1632988457-13285","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-8","87651","Bidingen","","Kreis Ostallgäu","Bayern"
"1632988501-15737","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-5","57392","Schmallenberg","","Hochsauerlandkreis","Nordrhein-Westfalen"
"1632988473-14025","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-7","74736","Hardheim","","Neckar-Odenwald-Kreis","Baden-Württemberg"
"1632988511-16224","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-4","4947749479","Ibbenbüren","","Kreis Steinfurt","Nordrhein-Westfalen"
"1632988473-14206","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-7","7688776889","Birkenhördt","","Kreis Südliche Weinstraße","Rheinland-Pfalz"
"1632988440-11959","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-9","95138","Bad Steben","","Kreis Hof","Bayern"
"1632988522-16617","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-3","35327","Ulrichstein","","Vogelsbergkreis","Hessen"
"1632988473-13706","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-7","72181","Starzach","","Kreis Tübingen","Baden-Württemberg"
"1632988457-12971","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-8","85395","Attenkirchen","","Kreis Freising","Bayern"
"1632988473-14187","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-7","76829","Ranschbach","","Kreis Südliche Weinstraße","Rheinland-Pfalz"
"1632988522-16882","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-3","38465","Brome","","Kreis Gifhorn","Niedersachsen"
"1632988485-15128","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-6","69245","Bammental","","Rhein-Neckar-Kreis","Baden-Württemberg"
"1632988440-12096","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-9","96179","Rattelsdorf/Oberfranken","","Kreis Bamberg","Bayern"
