web-scraper-order,web-scraper-start-url,Name,Redaktionssitz,Verlag
"1632990151-18515","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Delmenhorster Kreisblatt","Delmenhorst","Verlag Rieck GmbH & Co. KG"
"1632990151-18886","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Vesti","Bad Vilbel","Nidda Verlag GmbH"
"1632990151-18653","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Landeszeitung für die Lüneburger Heide","Lüneburg","Landeszeitung für die Lüneburger Heide GmbH"
"1632990151-18504","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Cellesche Zeitung","Celle","Schweiger & Pick Verlag Pfingsten GmbH & Co. KG"
"1632990151-18897","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Weilburger Tageblatt","Weilburg","Wetzlardruck GmbH"
"1632990151-18856","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Süderländer Volksfreund","Werdohl","Märkischer Zeitungsverlag GmbH & Co. KG"
"1632990151-18526","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Donaukurier","Ingolstadt","Donaukurier Verlagsgesellschaft mbH & Co KG"
"1632990151-18874","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Thüringische Landeszeitung","Erfurt","Thüringische Landeszeitung Verlag OHG"
"1632990151-18560","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Frankfurter Allgemeine Zeitung","Frankfurt am Main","Frankfurter Allgemeine Zeitung GmbH"
"1632990151-18613","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Hersbrucker Zeitung","Hersbruck","Pfeiffer Verlag und Medienservice GmbH & Co. KG"
"1632990151-18591","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Günzburger Zeitung","Günzburg","Mediengruppe Pressedruck"
"1632990151-18674","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Mannheimer Morgen","Mannheim","Mediengruppe Dr. Haas GmbH"
"1632990151-18760","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Ostsee-Zeitung","Rostock","Ostsee-Zeitung GmbH & Co. KG,"
"1632990151-18486","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Borkener Zeitung","Borken","J. Mergelsberg GmbH & Co. KG"
"1632990151-18891","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Waiblinger Kreiszeitung","Waiblingen","Zeitungsverlag GmbH & Co Waiblingen KG"
"1632990151-18828","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Schwarzwälder Bote","Oberndorf","Schwarzwälder Bote Mediengesellschaft mbH"
"1632990151-18791","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Reutlinger General-Anzeiger","Reutlingen","Reutlinger General-Anzeiger Verlag"
"1632990151-18438","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Ahrensburger Zeitung","Ahrensburg","Zeitungsgruppe Hamburg GmbH"
"1632990151-18445","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Allgemeine Laber-Zeitung","Schierling (Oberpfalz)","Cl. Attenkofer'sche Buch- und Kunstdruckerei KG"
"1632990151-18781","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Potsdamer Tageszeitung","Potsdam","Märkische Verlags- und Druck-Gesellschaft mbH Potsdam"
"1632990151-18854","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Süddeutsche Zeitung","München","Süddeutscher Verlag"
"1632990151-18531","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Dosse Kurier","Wittstock","Märkische Verlags- und Druck-Gesellschaft mbH Potsdam"
"1632990151-18530","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Donnersberger Rundschau","Kirchheimbolanden","Rheinpfalz Verlag und Druckerei GmbH und Co. KG"
"1632990151-18718","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Neue Westfälische","Bielefeld","Neue Westfälische GmbH & Co. KG"
"1632990151-18570","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Friedberger Allgemeine","Friedberg (Bayern)","Mediengruppe Pressedruck"
