web-scraper-order,web-scraper-start-url,pagination,name,street,zip-code,city
"1632986589-3885","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/7","EDEKA Fischer","Mührichstr. 12","76534","Baden-Baden"
"1632986617-5297","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/5","EDEKA Hub","Im Weiersweiler 3","55624","Rhaunen"
"1632986598-4144","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/7#","EDEKA Friedrich","Am Genkinger Weg 3","72820","Sonnenbühl"
"1632986567-2022","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/8","EDEKA Pfeilstetter","Bergfeldstr. 11","85586","Poing"
"1632986598-4448","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/7#","EDEKA Behrens","Lötzener Str. 14","76139","Karlsruhe-Waldstadt"
"1632986685-9252","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/2#","E neukauf Kratzmann","Sachsenwaldstr. 20","21465","Reinbek"
"1632986604-4778","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/6","EDEKA Ermel","Hegelstr. 3","63110","Rodgau-Dudenhofen-Dudenhofen"
"1632986530-326","https://www.meinprospekt.de/filialen/edeka/0","","EDEKA Schulz","Gerberstr. 22","03253","Doberlug-Kirchhain"
"1632986674-8399","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/2","E center","Walle Center, Waller Heerstr. 101","28219","Bremen-Walle"
"1632986634-6187","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/4","EDEKA Stahl","Am Hammerwerk 24","41515","Grevenbroich"
"1632986643-7147","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/4#","EDEKA WILPERS","WUELLENER Str. 42","48683","AHAUS"
"1632986685-9464","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/2#","EDEKA Brockhage","Achter De Gast 39","26316","Varel"
"1632986610-5183","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/6#","EDEKA Strese","An Der Linde 7","67806","Rockenhausen"
"1632986674-8836","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/2","EDEKA Holling","Spanger Str. 4","27476","Cuxhaven-Sahlenburg"
"1632986543-1001","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/9","EDEKA Renner","Weidenstr. 30","96358","Teuschnitz"
"1632986701-10282","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/1#","EDEKA","Potsdamer Str. 8","14550","Gross Kreutz"
"1632986610-5024","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/6#","E aktiv markt Pietsch","Geraer Ring 5","68309","Mannheim"
"1632986543-1048","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/9","EDEKA Kellner","Karl-Freyberg-Str. 12","99441","Magdala"
"1632986578-2919","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/8#","EDEKA Eichner","Wasserburger Str. 5","84427","St. Wolfgang"
"1632986543-603","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/9","EDEKA Hartmannsgruber","Grafenauer Str. 31","94548","Innernzell"
"1632986530-291","https://www.meinprospekt.de/filialen/edeka/0","","EDEKA","Puschkinstr. 4","04860","Torgau"
"1632986643-6793","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/4#","EDEKA","Bielefelderstr. 145","44625","Herne"
"1632986674-9019","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/2","Feinkost Meyer","Osterweg 1-5","25996","Wenningstedt-Braderup"
"1632986578-2874","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/8#","EDEKA","Münchner Str. 5","85238","Petershausen"
"1632986634-6252","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/4","EDEKA Koch","Hammerschmidt Str. 70","44649","Herne"
"1632986530-185","https://www.meinprospekt.de/filialen/edeka/0","","EDEKA Richter","Am Sportplatz","04703","Leisnig"
"1632986685-9682","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/2#","EDEKA Ristow","Tobringer 4","24226","Heikendorf"
"1632986553-1270","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/9#","EDEKA Niklas","Singergartenweg 4","93426","Roding"
"1632986578-2794","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/8#","EDEKA Schermelleh","An der Wögerwiese 5","85757","Karlsfeld"
"1632986634-6600","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/4","EDEKA","Friedrich-Plate-Str. 2","32361","Barnstorf"
"1632986589-3694","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/7","EDEKA Münchow","Freiheitstr. 23","78224","Singen"
"1632986543-628","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/9","EDEKA","Sulzbacher Str. 6","92237","Sulzbach-Rosenberg"
"1632986578-2832","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/8#","EDEKA Furtmair","Hirner Str. 3","85646","Anzing"
"1632986589-3936","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/7","EDEKA Thiem","Ortenauer Str. 19","77656","Offenburg-Elgersweier"
"1632986685-9043","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/2#","EDEKA Schulze","Bonifatiusstr. 10","29323","Wietze"
"1632986674-8570","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/2","EDEKA","Kaiser-Friedrich-Ufer 30","20144","Hamburg"
"1632986610-5247","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/6#","EDEKA Groß","St. Wendeler Str. 11","66636","Tholey"
"1632986598-4112","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/7#","EDEKA Unverricht","Friedrich-List-Str. 9-13","73249","Wernau (Neckar)"
"1632986694-10019","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/1","EDEKA Fil. 5419","Bizetstr. 25","13088","Berlin"
